	A
	
	DCM.Sample.Raw.csv
10570.82452	-0.002524
10593.22034	-0.002492
10615.71125	-0.002487
10638.29787	-0.002480
10660.98081	-0.002457
10683.76068	-0.002427
10706.63812	-0.002454
10729.61373	-0.002394
10752.68817	-0.002251
10775.86207	-0.002145
10799.13607	-0.002091
10822.51082	-0.001945
10845.98698	-0.001742
10869.56522	-0.001751
10893.24619	-0.001474
10917.03057	-0.001459
10940.91904	-0.001344
10964.91228	-0.001100
10989.01099	-0.001102
11013.21586	-8.950E-4
11037.52759	-6.150E-4
11061.9469	-2.570E-4
11086.4745	4.670E-4
11111.11111	0.001532
11135.85746	0.002802
11160.71429	0.004451
11185.68233	0.006578
11210.76233	0.008979
11235.95506	0.01124
11261.26126	0.01369
11286.68172	0.01586
11312.21719	0.01738
11337.86848	0.01815
11363.63636	0.01796
11389.52164	0.01686
11415.52511	0.01564
11441.6476	0.01341
11467.88991	0.01106
11494.25287	0.008527
11520.73733	0.006366
11547.34411	0.004568
11574.07407	0.002621
11600.92807	0.001896
11627.90698	0.002911
11655.01166	4.690E-4
11682.24299	-5.100E-5
11709.60187	5.300E-4
11737.0892	-3.800E-5
11764.70588	2.110E-4
11792.45283	-0.001275
11820.33097	-0.001717
11848.34123	-0.001640
11876.48456	-0.002195
11904.7619	-0.002444
11933.17422	-0.002747
11961.72249	-0.001912
11990.40767	-0.002627
12019.23077	-0.001939
12048.19277	-0.002598
12077.29469	-0.001898
12106.53753	-0.002546
12135.92233	-0.001979
12165.45012	-0.002305
12195.12195	-0.002248
12224.93888	-0.001978
12254.90196	-0.002093
12285.01229	-0.002466
12315.27094	-0.001972
12345.67901	-0.001967
12376.23762	-0.001992
12406.94789	-8.620E-4
12437.81095	-9.900E-4
12468.82793	-0.001477
12500	-0.001685
12531.32832	-0.001846
12562.81407	-0.001907
12594.45844	-0.001959
12626.26263	-0.001965
12658.22785	-0.002263
12690.35533	-0.002129
12722.64631	-0.002293
12755.10204	-0.002532
12787.72379	-0.002358
12820.51282	-0.002264
12853.47044	-0.002317
12886.59794	-0.002559
12919.89664	-0.002831
12953.36788	-0.002666
12987.01299	-0.002378
13020.83333	-0.002640
13054.83029	-0.002530
13089.00524	-0.002683
